AdvisoryID,Version,Severity,Description,Link
NCSC-2025-0305,[1.00],[M/H],Kwetsbaarheden verholpen in Juniper Networks Junos OS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0305
NCSC-2025-0306,[1.00],[M/M],Kwetsbaarheden verholpen in GitLab,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0306
NCSC-2025-0307,[1.00],[M/H],Kwetsbaarheid verholpen in Oracle E-Business Suite,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0307
NCSC-2025-0308,[1.00],[M/H],Kwetsbaarheden verholpen in Juniper Networks Junos Space,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0308
