AdvisoryID,Version,Severity,Description,Link
NCSC-2025-0281,[1.00],[M/H],Kwetsbaarheid verholpen in Adobe ColdFusion,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0281
NCSC-2025-0282,[1.00],[M/H],Kwetsbaarheid verholpen in Adobe Dreamweaver,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0282
NCSC-2025-0283,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Experience Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0283
NCSC-2025-0284,[1.00],[M/H],Kwetsbaarheid verholpen in Adobe Commerce en Magento,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0284
NCSC-2025-0285,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Acrobat Reader,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0285
