AdvisoryID,Version,Severity,Description,Link
NCSC-2025-0241,[1.01],[M/H],Kwetsbaarheden verholpen in Adobe Experience Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0241
NCSC-2025-0296,[1.01],[M/H],Kwetsbaarheid verholpen in WatchGuard Fireware OS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0296
NCSC-2025-0323,[1.00],[M/M],Kwetsbaarheden verholpen in SAP Producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0323
NCSC-2025-0324,[1.00],[M/H],Kwetsbaarheid verholpen in FortiOS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0324
