AdvisoryID,Version,Severity,Description,Link
NCSC-2025-0376,[1.00],[M/H],Kwetsbaarheden verholpen in SonicWall Email Security appliances,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0376
NCSC-2025-0375,[1.00],[M/H],Kwetsbaarheid verholpen in Progress MOVEit Transfer,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0375
NCSC-2025-0334,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Fusion Middleware,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0334
NCSC-2025-0374,[1.00],[M/H],Kwetsbaarheden verholpen in Arista EOS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0374
NCSC-2025-0373,[1.00],[M/H],Kwetsbaarheden verholpen in Fortinet FortiOS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0373
NCSC-2025-0372,[1.00],[M/H],Kwetsbaarheid verholpen in Fortinet FortiWeb,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0372
NCSC-2025-0371,[1.00],[M/H],Kwetsbaarheden verholpen in Google Chrome,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0371
NCSC-2025-0370,[1.00],[M/H],Kwetsbaarheden verholpen in Cisco Unified Contact Center Express,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0370
NCSC-2025-0369,[1.00],[M/H],Kwetsbaarheden verholpen in IBM AIX,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0369
NCSC-2025-0368,[1.00],[M/H],Kwetsbaarheden verholpen in Zoom Workplace en Zoom Clients,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0368
NCSC-2025-0367,[1.00],[M/H],Kwetsbaarheden verholpen in GitLab,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0367
NCSC-2025-0366,[1.00],[M/H],Kwetsbaarheid verholpen in Fortinet FortiWeb,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0366
NCSC-2025-0365,[1.00],[M/H],Kwetsbaarheden verholpen in Cisco Catalyst Center,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0365
NCSC-2025-0364,[1.00],[M/H],Kwetsbaarheid verholpen in Adobe Photoshop,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0364
NCSC-2025-0363,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Illustrator,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0363
NCSC-2025-0362,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Visual Studio,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0362
NCSC-2025-0361,[1.00],[M/H],Kwetsbaarheid verholpen in Microsoft SQL Server,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0361
NCSC-2025-0360,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Dynamics,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0360
NCSC-2025-0359,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Office,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0359
NCSC-2025-0358,[1.00],[M/H],Kwetsbaartheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0358
NCSC-2025-0357,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0357
NCSC-2025-0356,[1.00],[M/H],Kwetsbaarheden verholpen in SAP-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0356
NCSC-2025-0355,[1.00],[M/H],Kwetsbaarheden verholpen in Fortinet FortiOS en FortiProxy,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0355
NCSC-2025-0354,[1.00],[M/H],Kwetsbaarheid verholpen in Cisco Identity Services Engine,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0354
NCSC-2025-0353,[1.00],[M/H],Kwetsbaarheden verholpen in Google Android en Samsung Mobile,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0353
NCSC-2025-0352,[1.00],[M/M],Kwetsbaarheden verholpen in Apple iOS en iPadOS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0352
NCSC-2025-0351,[1.00],[M/H],Kwetsbaarheden verholpen in Apple MacOS,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0351
NCSC-2025-0350,[1.00],[M/H],Kwetsbaarheid verholpen in CFMOTO Ride voertuigdatabeheer systemen,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0350
NCSC-2025-0349,[1.00],[M/H],Kwetsbaarheden verholpen in Nagios XI,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0349
NCSC-2025-0348,[1.00],[M/H],Kwetsbaarheden verholpen in Arista Networks producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0348
