AdvisoryID,Version,Severity,Description,Link
NCSC-2025-0274,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0274
NCSC-2025-0275,[1.00],[M/H],Kwetsbaarheden verholpen in SAP producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0275
NCSC-2025-0276,[1.00],[M/H],Kwetsbaarheden verholpen in Schneider Electric Saitel,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0276
NCSC-2025-0277,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0277
NCSC-2025-0278,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Office,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0278
NCSC-2025-0279,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Azure,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0279
NCSC-2025-0280,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft SQL Server,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0280
